HallwayType,TimeToSubway,SubwayStation,N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),YearBuilt,N_FacilitiesInApt,Size(sqf),SalePrice
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,811,300000
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,429203
corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,2014,1,156,55752
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,644,299115
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,97345
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,153982
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,846,314159
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,2014,10,914,361946
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,857,199115
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,109734
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,362831
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,199115
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,130973
corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,2014,1,156,58407
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,235398
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1149,287610
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,1184,309734
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,229203
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,109734
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,169911
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,265442
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,288,99823
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,200318
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,349557
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1761,305309
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,393805
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,192920
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,255442
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,914,165486
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,54867
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,130973
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1743,292035
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,251327
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,122123
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,253097
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,857,265486
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,155752
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,340707
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,295575
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,407079
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,203646
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,259292
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,206194
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,255442
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,263345
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,250442
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,193805
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,676,94955
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,640,246017
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,92035
corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,2014,1,138,54867
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1519,398230
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,207079
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,92920
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,238053
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,200884
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,517699
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,308849
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,356637
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1366,272566
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,910,413716
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,168141
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,147761
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,230088
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,115044
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,255442
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,362831
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,150778
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,75920
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,210619
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,119469
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,179646
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,526548
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,644,305309
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,286902
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,164601
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,150442
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1313,159292
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1366,283185
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,174336
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,914,366371
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,161061
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,914,115044
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,132743
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,213,74778
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,211150
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,914,334513
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,843,307964
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,288,101769
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,517699
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1451,176991
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,247787
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,176991
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,914,207079
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,2056,460176
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,914,192920
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,168141
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,214159
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,176991
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,910,358407
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,288,101327
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,61946
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,907,255442
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,63716
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,336283
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1149,376106
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,426,103663
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,276991
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,180973
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,172566
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,80530
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,194690
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,907,255442
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,149115
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1273,307964
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,161061
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,185840
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,294690
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,371681
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,2337,185840
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,145132
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,146256
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,2092,221238
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,157079
corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,2014,1,163,60176
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,92920
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,203539
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,225663
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,914,200522
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,149274
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,73008
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,398230
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,348672
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,1448,169911
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,253982
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,193769
corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,2014,1,135,54424
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,146256
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,326548
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,152212
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,84070
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,293238
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,914,380530
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,640,241592
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,205309
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,327433
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,222123
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,268141
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,210619
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,211504
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,273451
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,212389
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,1184,280530
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,143362
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1313,176106
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,201769
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,327433
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1437,279646
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,288,103982
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,2337,353982
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,61946
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,149619
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1629,442477
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,339823
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,501769
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,907,345132
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,423008
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,91592
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1444,313274
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,75920
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,448672
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,143362
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,39823
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,40088
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1519,530973
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,228761
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,194690
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,435398
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,97345
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,486725
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,480530
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,351769
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,84070
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,197345
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,307964
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,142920
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,163716
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,196460
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,79646
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,644,172566
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,149274
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,146017
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,65929
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,914,194690
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,2337,176991
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,348672
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,360176
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,2056,415929
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,2337,202654
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,200884
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1334,337168
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,60176
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,585840
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,345132
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,73893
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,176106
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1743,415929
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,158407
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,37610
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,84070
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,265442
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,159292
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,60176
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,2337,194690
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,508,109734
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,232743
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,384955
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,146017
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,168141
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,146902
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1313,284070
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,814,280530
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1796,363716
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,462831
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,149274
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,171681
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1369,261061
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,155752
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,640,274336
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,136725
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,185840
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,308849
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,119026
corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,2014,1,135,53982
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,910,334955
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,914,380530
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,1192,230088
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,190265
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,381415
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,184513
corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,2014,1,192,71681
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,282566
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,914,216814
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,244911
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,37168
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,644,268141
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,640,276106
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,168141
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,508,94690
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,79646
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,336283
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,146017
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,110619
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,228318
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,910,389380
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,225663
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,65486
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,114159
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,336283
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,166371
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,75920
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,914,203539
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,644,253982
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1451,181415
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,144752
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,88495
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,340707
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,226548
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,182743
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,197345
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,190265
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,814,214159
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,203539
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,75088
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,183628
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1444,383185
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,77876
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,250000
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,252814
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,644,264601
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,219469
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,80530
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,203539
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,448672
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,309734
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1288,181415
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,119469
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,278761
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,386725
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,75504
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,451327
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,82035
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,122123
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,66371
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,198849
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,1167,214159
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,154867
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,1167,216814
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,185840
corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,2014,1,135,60176
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,123893
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,277876
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,168141
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,80973
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,914,345132
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,192920
